loc_code	date	lab_project_id	lab_sample_id	chem_variable	value	units	below_loq	loq	elneutr
DYLP008	2010-02-16	0	10060	Fe	0.0465532677	meq/l	NA	-99	0.002266
DYLP012	2010-02-16	0	10061	CondL	729	<U+00B5>S/cm	NA	-99	0.004035
DYLP012	2010-02-16	0	10061	Fe	0.6395702775	meq/l	NA	-99	0.004035
MIDP104	2011-08-23	0	10062	CondL	1229	<U+00B5>S/cm	NA	-99	0.011053
MIDP104	2011-08-23	0	10062	Fe	0.0211280215	meq/l	NA	-99	0.011053
MIDP102	2011-08-23	0	10065	CondL	1467	<U+00B5>S/cm	NA	-99	0.009985
MIDP102	2011-08-23	0	10065	Fe	0.0200537153	meq/l	NA	-99	0.009985
MIDP107	2011-08-23	0	10068	CondL	3019	<U+00B5>S/cm	NA	-99	0.010466
MIDP107	2011-08-23	0	10068	Fe	0.1253357207	meq/l	NA	-99	0.010466
MIDP103	2011-08-23	0	10069	CondL	2520	<U+00B5>S/cm	NA	-99	-0.001579
MIDP103	2011-08-23	0	10069	Fe	0.1120859445	meq/l	NA	-99	-0.001579
HERP009	2001-01-15	0	10071	Fe	2.2918531782	meq/l	NA	-99	NA
HERP010	2000-07-13	0	10072	Fe	1.7905102954	meq/l	NA	-99	-0.000377
HERP010	2001-01-15	0	10073	Fe	0.6803939123	meq/l	NA	-99	NA
HERP011	2000-07-13	0	10074	Fe	3.0796777081	meq/l	NA	-99	-0.050606
HERP011	2001-08-07	0	10075	Fe	4.297224709	meq/l	NA	-99	0.053285
DYLP013	2010-02-16	0	10076	CondL	666	<U+00B5>S/cm	NA	-99	-0.017701
DYLP013	2010-02-16	0	10076	Fe	0.0931065354	meq/l	NA	-99	-0.017701
DYLP017	2010-02-16	0	10077	CondL	769	<U+00B5>S/cm	NA	-99	-0.02617
DYLP017	2010-02-16	0	10077	Fe	0.4268576544	meq/l	NA	-99	-0.02617
DYLP018	2010-02-22	0	10078	CondL	227	<U+00B5>S/cm	NA	-99	0.003236
DYLP018	2010-02-22	0	10078	Fe	0.1944494181	meq/l	NA	-99	0.003236
DYLP019	2010-02-22	0	10079	CondL	459	<U+00B5>S/cm	NA	-99	0.044519
DYLP019	2010-02-22	0	10079	Fe	0.6897045658	meq/l	NA	-99	0.044519
DYLP021	2010-02-22	0	10080	CondL	533	<U+00B5>S/cm	NA	-99	-0.008171
DYLP021	2010-02-22	0	10080	Fe	0.1733213966	meq/l	NA	-99	-0.008171
DYLP022	2010-02-16	0	10081	CondL	1058	<U+00B5>S/cm	NA	-99	0.065457
DYLP022	2010-02-16	0	10081	Fe	1.5312444047	meq/l	NA	-99	0.065457
DYLP023	2010-02-16	0	10082	CondL	583	<U+00B5>S/cm	NA	-99	-0.000446
DYLP023	2010-02-16	0	10082	Fe	0.5135183527	meq/l	NA	-99	-0.000446
DYLP026	2010-02-16	0	10083	CondL	617	<U+00B5>S/cm	NA	-99	0.097362
DYLP026	2010-02-16	0	10083	Fe	2.9113697404	meq/l	NA	-99	0.097362
DYLP029	2010-02-22	0	10084	CondL	1120	<U+00B5>S/cm	NA	-99	-0.007459
DYLP029	2010-02-22	0	10084	Fe	0.5654431513	meq/l	NA	-99	-0.007459
DYLP030	2010-02-16	0	10085	CondL	361	<U+00B5>S/cm	NA	-99	0.015226
DYLP030	2010-02-16	0	10085	Fe	0.7774395703	meq/l	NA	-99	0.015226
DYLP033	2010-02-16	0	10087	CondL	697	<U+00B5>S/cm	NA	-99	0.011118
DYLP033	2010-02-16	0	10087	Fe	0.0254252462	meq/l	NA	-99	0.011118
DYLP034	2010-02-22	0	10088	CondL	474	<U+00B5>S/cm	NA	-99	0.050604
DYLP034	2010-02-22	0	10088	Fe	0.9052820054	meq/l	NA	-99	0.050604
DYLP037	2010-02-16	0	10089	CondL	604	<U+00B5>S/cm	NA	-99	-0.005471
DYLP037	2010-02-16	0	10089	Fe	0.0085944494	meq/l	NA	-99	-0.005471
DYLP038	2010-02-16	0	10090	CondL	600	<U+00B5>S/cm	NA	-99	-0.001359
DYLP038	2010-02-16	0	10090	Fe	0.0379588183	meq/l	NA	-99	-0.001359
DYLP042	2010-02-16	0	10091	CondL	784	<U+00B5>S/cm	NA	-99	0.056063
DYLP042	2010-02-16	0	10091	Fe	0.6893464637	meq/l	NA	-99	0.056063
DYLP051	2010-02-16	0	10096	CondL	576	<U+00B5>S/cm	NA	-99	-0.007582
DYLP051	2010-02-16	0	10096	Fe	0.0461951656	meq/l	NA	-99	-0.007582
DYLP054	2010-02-16	0	10097	CondL	608	<U+00B5>S/cm	NA	-99	-0.002324
DYLP054	2010-02-16	0	10097	Fe	0.3491495076	meq/l	NA	-99	-0.002324
DYLP055	2010-02-16	0	10098	CondL	619	<U+00B5>S/cm	NA	-99	0.015467
DYLP055	2010-02-16	0	10098	Fe	0.3169203223	meq/l	NA	-99	0.015467
DYLP056	2010-02-16	0	10099	CondL	881	<U+00B5>S/cm	NA	-99	-0.026162
DYLP056	2010-02-16	0	10099	Fe	0.0565801253	meq/l	NA	-99	-0.026162
DYLP057	2010-02-16	0	10100	CondL	101	<U+00B5>S/cm	NA	-99	-0.010573
DYLP057	2010-02-16	0	10100	Fe	0.0150402865	meq/l	NA	-99	-0.010573
DYLP059	2010-02-16	0	10101	CondL	639	<U+00B5>S/cm	NA	-99	0.003331
DYLP059	2010-02-16	0	10101	Fe	0.3054610564	meq/l	NA	-99	0.003331
DYLP063	2010-02-16	0	10104	CondL	458	<U+00B5>S/cm	NA	-99	0.014571
DYLP063	2010-02-16	0	10104	Fe	0.0017905103	meq/l	NA	-99	0.014571
DYLP064	2010-02-22	0	10105	CondL	471	<U+00B5>S/cm	NA	-99	-0.016986
DYLP064	2010-02-22	0	10105	Fe	0.01217547	meq/l	NA	-99	-0.016986
DYLP065	2010-02-22	0	10106	CondL	403	<U+00B5>S/cm	NA	-99	0.045126
DYLP065	2010-02-22	0	10106	Fe	0.6864816473	meq/l	NA	-99	0.045126
DYLP070	2010-02-22	0	10109	CondL	435	<U+00B5>S/cm	NA	-99	-0.019921
DYLP070	2010-02-22	0	10109	Fe	0.2961504029	meq/l	NA	-99	-0.019921
DYLP071	2010-02-22	0	10110	CondL	319	<U+00B5>S/cm	NA	-99	0.002657
DYLP071	2010-02-22	0	10110	Fe	0.0934646374	meq/l	NA	-99	0.002657
